a_km,e_osc,i_deg,raan_deg,u_deg,r_km,v_kms,period_min,hx,hy,hz,norad,object_id,rcs_m2,d_eq_cm,perigee_cat_km,apogee_cat_km,gp_epoch,age_days,mean_motion,mean_e,mean_i,mean_raan,mean_argp,mean_M
7143.260601659165,0.007412326213589535,98.22946774851964,284.9183507687216,8.652114850808438,7164.565876241355,7.447753994995799,100.13928166869411,-0.956343502188511,-0.2547913431552947,-0.14313796587535474,30677,1999-025AQK,0.0078,9.965574970333758,712.0,807.0,2026-09-01T16:12:14.908320,0.32482745,14.39733417,0.00665695,98.2345,284.6077,132.2051,354.5931
7179.103078768343,0.011284618580919855,98.5230635419656,270.48452549512183,282.5187059626131,7259.798630903991,7.368039925791486,100.8939241392482,-0.9889209231633616,-0.00836307362260172,-0.1482075123916049,30700,1999-025ARJ,0.0095,10.998079684646791,749.0,875.0,2026-09-01T19:18:30.506400,0.19548025000000002,14.2400247,0.00874458,98.5182,270.2928,96.9099,264.2038
7234.457758793631,0.001142261027759591,98.67883421221093,255.52733780232924,344.80833881734003,7240.406467769955,7.416667100161939,102.06308888623649,-0.957180044694208,0.24705640151265726,-0.1508956477530437,30708,1999-025ARS,0.0087,10.524820207108487,845.0,858.0,2026-09-01T12:53:22.751232,0.46293112,14.12316093,0.00085395,98.6835,255.0761,165.2622,347.2828
7183.351483307779,0.006284414051608779,98.88025964924498,333.6866048384661,216.48760601245766,7196.2678816513135,7.435743886622693,100.98349694699961,-0.43796721023864066,-0.8856379782726682,-0.15436999124468223,30718,1999-025ASC,0.0064,9.0270333367641,765.0,846.0,2026-09-01T11:12:18.969408,0.53311378,14.25899263,0.00565836,98.8819,333.1519,118.5395,242.1496
7109.591456932288,0.0018985495654249898,98.84605888801903,345.84162030114663,88.09573756490308,7116.863042724205,7.480013385505502,99.43211975330952,-0.2416935708073842,-0.9580896967295703,-0.15378020305298026,30723,1999-025ASH,0.0053,8.214724333230155,732.0,755.0,2026-09-01T17:40:08.900832,0.26378587000000003,14.44595356,0.00158743,98.8404,345.5678,193.4818,323.7507
7138.172472649608,0.007621877524190305,99.30626931935913,96.36474657655509,236.79919082731615,7091.096882589848,7.52210762448229,100.03230723455769,0.98075547057352,0.10939835458408087,-0.16171180214940714,30724,1999-025ASJ,0.0071,9.507891862878783,701.0,832.0,2026-09-01T10:06:27.155232,0.57885237,14.37572529,0.00921899,99.3039,95.7443,215.0428,267.2425
7109.760494578558,0.0024978967446707082,98.8574407150605,339.8523791531594,252.38665236471127,7124.164932310521,7.472424173240326,99.43566592150222,-0.34033247891614804,-0.927612551181343,-0.15397648744412218,30731,1999-025ASR,0.0063,8.95623198216277,732.0,752.0,2026-09-01T13:27:25.725024,0.43928559,14.45041953,0.00145552,98.8528,339.3981,181.0055,307.2629
7175.6530927018,0.006685145494968831,98.75260929131724,320.3275778522392,68.315739311357,7207.107341443886,7.420521747945846,100.82120457942825,-0.6309630078616183,-0.7607433612897149,-0.15216839673153512,30735,1999-025ASV,0.0054,8.291859587312052,764.0,849.0,2026-09-01T22:15:10.098144,0.07279979,14.25492994,0.00592526,98.7486,320.2588,201.134,214.3424
7216.45172965767,0.003036445989248201,98.68237447353056,251.36893903492629,249.43125436618803,7238.219881603304,7.409638080195121,101.6822848856831,-0.9367362669191729,0.31581202028229094,-0.1509567291761119,30741,1999-025ATB,0.0069,9.373021315815206,843.0,853.0,2026-09-01T11:39:21.610656,0.51433321,14.13372666,0.00073917,98.6783,250.8737,91.3756,62.4478
7211.83903427378,0.006236541862156183,98.83838985864206,307.27595519848694,131.40719463047125,7195.739747792956,7.451013848402424,101.58480877156596,-0.7862789746840594,-0.5984627668248993,-0.15364794399558585,30751,1999-025ATM,0.0113,11.994835078277374,800.0,875.0,2026-09-01T15:37:33.186720,0.34892144999999997,14.16380153,0.00521166,98.8377,306.9241,66.7328,85.914
